S1 : 0 -> 98 : FROM START TO END
S2 : 15 -> 97 : FROM S1 TO S1
S3 : 60 -> 65 : FROM S1 TO S2
S4 : 62 -> 67 : FROM S3 TO S2
S5 : 26 -> 44 : FROM S1 TO S1
S6 : 52 -> 91 : FROM S1 TO S1
S7 : 40 -> 57 : FROM S5 TO S6
S8 : 28 -> 85 : FROM S5 TO S1
S9 : 48 -> 63 : FROM S7 TO S3
S10 : 21 -> 61 : FROM S1 TO S1
S11 : 67 -> 86 : FROM S6 TO S1
S12 : 35 -> 60 : FROM S5 TO S8
S13 : 65 -> 79 : FROM S4 TO S8
S14 : 66 -> 70 : FROM S4 TO S8
S15 : 9 -> 87 : FROM S1 TO S1
S16 : 68 -> 91 : FROM S14 TO S2
S17 : 63 -> 89 : FROM S4 TO S6
S18 : 26 -> 55 : FROM S10 TO S2
S19 : 62 -> 88 : FROM S3 TO S17
S20 : 18 -> 74 : FROM S1 TO S11
S21 : 66 -> 89 : FROM S4 TO S1
S22 : 46 -> 95 : FROM S2 TO S2
S23 : 49 -> 64 : FROM S18 TO S6
S24 : 59 -> 79 : FROM S23 TO S8
S25 : 14 -> 46 : FROM S1 TO S7
S26 : 38 -> 89 : FROM S18 TO S22
S27 : 81 -> 96 : FROM S21 TO S2
S28 : 53 -> 56 : FROM S7 TO S23
S29 : 79 -> 93 : FROM S11 TO S2
S30 : 4 -> 30 : FROM S1 TO S25
S31 : 55 -> 97 : FROM S28 TO S1
S32 : 30 -> 60 : FROM S5 TO S20
S33 : 85 -> 96 : FROM S16 TO S31
S34 : 80 -> 86 : FROM S29 TO S22
S35 : 12 -> 45 : FROM S1 TO S7
S36 : 50 -> 61 : FROM S20 TO S26
S37 : 82 -> 97 : FROM S2 TO S1
S38 : 59 -> 94 : FROM S23 TO S31
S39 : 62 -> 88 : FROM S3 TO S38
S40 : 27 -> 86 : FROM S1 TO S26
S41 : 84 -> 91 : FROM S34 TO S22
S42 : 82 -> 94 : FROM S29 TO S33
S43 : 52 -> 72 : FROM S9 TO S1
S44 : 45 -> 90 : FROM S26 TO S1
S45 : 15 -> 64 : FROM S1 TO S19
S46 : 43 -> 70 : FROM S12 TO S44
S47 : 67 -> 79 : FROM S13 TO S31
S48 : 69 -> 82 : FROM S21 TO S22
S49 : 36 -> 60 : FROM S5 TO S20
S50 : 27 -> 77 : FROM S1 TO S39
S51 : 47 -> 62 : FROM S32 TO S38
S52 : 51 -> 85 : FROM S9 TO S21
S53 : 43 -> 89 : FROM S5 TO S16
S54 : 64 -> 82 : FROM S19 TO S22
S55 : 14 -> 78 : FROM S1 TO S40
S56 : 73 -> 82 : FROM S48 TO S53
S57 : 56 -> 77 : FROM S50 TO S6
S58 : 78 -> 90 : FROM S47 TO S41
S59 : 76 -> 97 : FROM S53 TO S1
S60 : 7 -> 42 : FROM S1 TO S7
S61 : 81 -> 94 : FROM S48 TO S37
S62 : 68 -> 75 : FROM S17 TO S50
S63 : 49 -> 95 : FROM S9 TO S27
S64 : 55 -> 93 : FROM S2 TO S33
S65 : 12 -> 85 : FROM S1 TO S16
S66 : 35 -> 72 : FROM S40 TO S64
S67 : 47 -> 68 : FROM S7 TO S52
S68 : 75 -> 83 : FROM S53 TO S31
S69 : 86 -> 88 : FROM S21 TO S2
S70 : 17 -> 32 : FROM S1 TO S25
S71 : 67 -> 70 : FROM S26 TO S39
S72 : 65 -> 68 : FROM S65 TO S11
S73 : 73 -> 76 : FROM S11 TO S21
S74 : 65 -> 84 : FROM S4 TO S64
S75 : 4 -> 40 : FROM S1 TO S2
S76 : 57 -> 79 : FROM S9 TO S2
S77 : 76 -> 89 : FROM S68 TO S59
S78 : 79 -> 90 : FROM S52 TO S33
S79 : 63 -> 93 : FROM S43 TO S2
S80 : 12 -> 45 : FROM S1 TO S10
S81 : 26 -> 44 : FROM S80 TO S18
S82 : 84 -> 95 : FROM S42 TO S27
S83 : 61 -> 85 : FROM S57 TO S44
S84 : 22 -> 68 : FROM S25 TO S54
S85 : 28 -> 91 : FROM S1 TO S64
S86 : 44 -> 61 : FROM S66 TO S2
S87 : 82 -> 89 : FROM S34 TO S78
S88 : 82 -> 96 : FROM S29 TO S59
S89 : 64 -> 88 : FROM S22 TO S78
S90 : 3 -> 33 : FROM S1 TO S15
S91 : 78 -> 96 : FROM S54 TO S37
S92 : 48 -> 65 : FROM S51 TO S66
S93 : 61 -> 68 : FROM S63 TO S21
S94 : 85 -> 90 : FROM S29 TO S27
S95 : 2 -> 95 : FROM S1 TO S91
S96 : 43 -> 90 : FROM S65 TO S59
S97 : 77 -> 95 : FROM S54 TO S59
S98 : 68 -> 74 : FROM S24 TO S13
S99 : 81 -> 95 : FROM S89 TO S2
S100 : 25 -> 79 : FROM S1 TO S89
