(-219, -364)
(345, -111)
(251, -157)
(-57, -215)
(211, -253)
(94, -87)
(-225, -286)
(320, -220)
(-1, -184)
(263, -370)
(-259, 237)
(352, -317)
(3, 205)
(98, 255)
(374, -205)
(346, 333)
(49, -46)
(95, 328)
(248, 259)
(-222, -378)
(210, 360)
(-207, -223)
(241, 269)
(158, -203)
(-240, 350)
(372, -33)
(332, -119)
(-175, -245)
(334, 193)
(-8, 56)
(173, 161)
(-234, -380)
(-186, -361)
(186, 343)
(-164, -368)
(345, -130)
(305, 370)
(-86, -125)
(30, 60)
(-286, -255)
(-252, 54)
(-388, -200)
(-161, -116)
(334, -145)
(-269, 53)
(380, 334)
(376, -283)
(191, -35)
(-400, -258)
(132, -128)
(-188, -381)
(-42, 286)
(369, 170)
(286, 167)
(337, 261)
(4, 66)
(-191, -129)
(-249, 118)
(378, 15)
(117, -131)
